CustomerID,Name,Age,Email,Phone,Purchase_Amount,Date,City
2,Jane,69,jane@gmail.com,123-456-7890,-500,,Chennai
3,Mike,46,mike@gmail.com,,9762,2023-03-01,Chennai
4,Sarah,32,,9876543210,680,,Mumbai
5,Tom,60,tom@gmail.com,555.555.5555,7104,2023-04-01,
6,John,25,john@gmail.com,9876543210,8230,2023-01-01,Chennai
7,Jane,38,jane@gmail.com,123-456-7890,3247,,Chennai
8,Mike,56,mike@gmail.com,,4349,2023-03-01,Chennai
9,Sarah,36,,9876543210,1779,,Mumbai
10,Tom,40,tom@gmail.com,555.555.5555,3606,2023-04-01,
11,John,28,john@gmail.com,9876543210,7353,2023-01-01,Chennai
12,Jane,28,jane@gmail.com,123-456-7890,2844,,Chennai
13,Mike,41,mike@gmail.com,,9535,2023-03-01,Chennai
14,Sarah,53,,9876543210,5288,,Mumbai
15,Tom,57,tom@gmail.com,555.555.5555,2241,2023-04-01,
16,John,41,john@gmail.com,9876543210,6717,2023-01-01,Chennai
17,Jane,20,jane@gmail.com,123-456-7890,2579,,Chennai
18,Mike,39,mike@gmail.com,,6584,2023-03-01,Chennai
19,Sarah,19,,9876543210,9927,,Mumbai
20,Tom,41,tom@gmail.com,555.555.5555,7521,2023-04-01,
21,John,61,john@gmail.com,9876543210,4552,2023-01-01,Chennai
22,Jane,47,jane@gmail.com,123-456-7890,5981,,Chennai
23,Mike,55,mike@gmail.com,,6765,2023-03-01,Chennai
24,Sarah,19,,9876543210,2949,,Mumbai
25,Tom,38,tom@gmail.com,555.555.5555,7490,2023-04-01,
26,John,50,john@gmail.com,9876543210,7005,2023-01-01,Chennai
27,Jane,29,jane@gmail.com,123-456-7890,2589,,Chennai
28,Mike,39,mike@gmail.com,,9923,2023-03-01,Chennai
29,Sarah,61,,9876543210,9307,,Mumbai
30,Tom,42,tom@gmail.com,555.555.5555,9640,2023-04-01,
31,John,66,john@gmail.com,9876543210,4711,2023-01-01,Chennai
32,Jane,44,jane@gmail.com,123-456-7890,2939,,Chennai
33,Mike,59,mike@gmail.com,,8627,2023-03-01,Chennai
34,Sarah,45,,9876543210,5978,,Mumbai
35,Tom,33,tom@gmail.com,555.555.5555,9187,2023-04-01,
36,John,32,john@gmail.com,9876543210,6403,2023-01-01,Chennai
37,Jane,64,jane@gmail.com,123-456-7890,951,,Chennai
38,Mike,68,mike@gmail.com,,1787,2023-03-01,Chennai
39,Sarah,61,,9876543210,6933,,Mumbai
40,Tom,69,tom@gmail.com,555.555.5555,2527,2023-04-01,
41,John,20,john@gmail.com,9876543210,9860,2023-01-01,Chennai
