CustomerID,Name,Age,Email,Phone,Purchase_Amount,Date,City
1,John,56,john@gmail.com,9876543210,999999,2023-01-01,Chennai
2,jane,69,JANE@gmail.com,123-456-7890,-500,01/02/2023,chennai
3,MIKE,46,mike@gmail.com,,9762,2023-03-01,CHENNAI
4,sarah,32,,9876543210,680,,Mumbai
5,TOM,60,tom@gmail.com,555.555.5555,7104,2023-04-01,
6,John,25,john@gmail.com,9876543210,8230,2023-01-01,Chennai
7,jane,38,JANE@gmail.com,123-456-7890,3247,01/02/2023,chennai
8,MIKE,56,mike@gmail.com,,4349,2023-03-01,CHENNAI
9,sarah,36,,9876543210,1779,,Mumbai
10,TOM,40,tom@gmail.com,555.555.5555,3606,2023-04-01,
11,John,28,john@gmail.com,9876543210,7353,2023-01-01,Chennai
12,jane,28,JANE@gmail.com,123-456-7890,2844,01/02/2023,chennai
13,MIKE,41,mike@gmail.com,,9535,2023-03-01,CHENNAI
14,sarah,53,,9876543210,5288,,Mumbai
15,TOM,57,tom@gmail.com,555.555.5555,2241,2023-04-01,
16,John,41,john@gmail.com,9876543210,6717,2023-01-01,Chennai
17,jane,20,JANE@gmail.com,123-456-7890,2579,01/02/2023,chennai
18,MIKE,39,mike@gmail.com,,6584,2023-03-01,CHENNAI
19,sarah,19,,9876543210,9927,,Mumbai
20,TOM,41,tom@gmail.com,555.555.5555,7521,2023-04-01,
21,John,61,john@gmail.com,9876543210,4552,2023-01-01,Chennai
22,jane,47,JANE@gmail.com,123-456-7890,5981,01/02/2023,chennai
23,MIKE,55,mike@gmail.com,,6765,2023-03-01,CHENNAI
24,sarah,19,,9876543210,2949,,Mumbai
25,TOM,38,tom@gmail.com,555.555.5555,7490,2023-04-01,
26,John,50,john@gmail.com,9876543210,7005,2023-01-01,Chennai
27,jane,29,JANE@gmail.com,123-456-7890,2589,01/02/2023,chennai
28,MIKE,39,mike@gmail.com,,9923,2023-03-01,CHENNAI
29,sarah,61,,9876543210,9307,,Mumbai
30,TOM,42,tom@gmail.com,555.555.5555,9640,2023-04-01,
31,John,66,john@gmail.com,9876543210,4711,2023-01-01,Chennai
32,jane,44,JANE@gmail.com,123-456-7890,2939,01/02/2023,chennai
33,MIKE,59,mike@gmail.com,,8627,2023-03-01,CHENNAI
34,sarah,45,,9876543210,5978,,Mumbai
35,TOM,33,tom@gmail.com,555.555.5555,9187,2023-04-01,
36,John,32,john@gmail.com,9876543210,6403,2023-01-01,Chennai
37,jane,64,JANE@gmail.com,123-456-7890,951,01/02/2023,chennai
38,MIKE,68,mike@gmail.com,,1787,2023-03-01,CHENNAI
39,sarah,61,,9876543210,6933,,Mumbai
40,TOM,69,tom@gmail.com,555.555.5555,2527,2023-04-01,
